label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
droplet>hz/n1,curl,1,12.607,81.226,0.32,1.95,1,0,1073741824
droplet>hz/n1,bigcurl-1,1,19.129,53.531,0.72,3.29,1,0,1073741824
droplet>hz/n1,curlo-1,1,16.808,60.922,0.38,3.68,1,0,1073741824
droplet>hz/n1,curldd-1,1,17.542,58.373,0.50,3.28,1,0,1073741824
droplet>hz/n1,curl,2,14.258,71.820,0.37,2.10,1,0,1073741824
droplet>hz/n1,bigcurl-1,2,17.444,58.701,0.64,3.10,1,0,1073741824
droplet>hz/n1,curlo-1,2,18.119,56.515,0.37,3.82,1,0,1073741824
droplet>hz/n1,curldd-1,2,14.696,69.679,0.42,2.81,1,0,1073741824
droplet>hz/n1,curl,3,12.517,81.810,0.34,1.87,1,0,1073741824
droplet>hz/n1,bigcurl-1,3,17.573,58.270,0.63,3.00,1,0,1073741824
droplet>hz/n1,curlo-1,3,17.866,57.314,0.42,3.71,1,0,1073741824
droplet>hz/n1,curldd-1,3,13.648,75.027,0.35,2.63,1,0,1073741824
droplet>hz/n2,curl,1,15.951,64.195,0.43,2.16,1,0,1073741824
droplet>hz/n2,bigcurl-2,1,17.791,57.557,0.90,3.50,1,0,1073741824
droplet>hz/n2,curlo-2,1,16.311,62.781,0.37,4.07,1,0,1073741824
droplet>hz/n2,curldd-2,1,15.257,67.115,0.47,3.04,1,0,1073741824
droplet>hz/n2,curl,2,13.148,77.880,0.43,1.86,1,0,1073741824
droplet>hz/n2,bigcurl-2,2,16.513,62.010,0.85,3.39,1,0,1073741824
droplet>hz/n2,curlo-2,2,14.653,69.883,0.37,3.57,1,0,1073741824
droplet>hz/n2,curldd-2,2,13.245,77.311,0.42,2.85,1,0,1073741824
droplet>hz/n2,curl,3,12.931,79.189,0.37,1.92,1,0,1073741824
droplet>hz/n2,bigcurl-2,3,16.331,62.704,0.83,3.25,1,0,1073741824
droplet>hz/n2,curlo-2,3,27.118,37.761,0.75,5.29,1,0,1073741824
droplet>hz/n2,curldd-2,3,23.657,43.286,0.70,4.04,1,0,1073741824
droplet>hz/n4,curl,1,14.706,69.633,0.39,2.06,1,0,1073741824
droplet>hz/n4,bigcurl-4,1,16.516,62.001,1.07,3.68,1,0,1073741824
droplet>hz/n4,curlo-4,1,17.724,57.775,0.46,4.11,1,0,1073741824
droplet>hz/n4,curldd-4,1,13.804,74.181,0.53,3.14,1,0,1073741824
droplet>hz/n4,curl,2,15.967,64.133,0.43,2.24,1,0,1073741824
droplet>hz/n4,bigcurl-4,2,20.452,50.069,1.42,4.28,1,0,1073741824
droplet>hz/n4,curlo-4,2,18.853,54.314,0.47,4.48,1,0,1073741824
droplet>hz/n4,curldd-4,2,13.406,76.386,0.50,3.03,1,0,1073741824
droplet>hz/n4,curl,3,13.763,74.403,0.37,1.98,1,0,1073741824
droplet>hz/n4,bigcurl-4,3,17.765,57.640,1.26,3.80,1,0,1073741824
droplet>hz/n4,curlo-4,3,15.952,64.194,0.40,4.03,1,0,1073741824
droplet>hz/n4,curldd-4,3,14.234,71.939,0.50,3.19,1,0,1073741824
droplet>hz/n1,bigcurl-1,1,17.929,57.113,0.65,3.17,1,0,1073741824
droplet>hz/n1,curldd-1,1,18.916,54.134,0.59,3.41,1,0,1073741824
droplet>hz/n1,bigcurl-1,2,18.217,56.211,0.65,3.24,1,0,1073741824
droplet>hz/n1,curldd-1,2,16.546,61.890,0.50,3.07,1,0,1073741824
droplet>hz/n1,bigcurl-1,3,17.892,57.233,0.69,3.02,1,0,1073741824
droplet>hz/n1,curldd-1,3,14.469,70.774,0.45,2.74,1,0,1073741824
droplet>hz/n2,bigcurl-2,1,17.029,60.132,0.84,3.39,1,0,1073741824
droplet>hz/n2,curldd-2,1,13.966,73.321,0.48,2.94,1,0,1073741824
droplet>hz/n2,bigcurl-2,2,18.234,56.159,0.95,3.62,1,0,1073741824
droplet>hz/n2,curldd-2,2,15.991,64.036,0.56,3.18,1,0,1073741824
droplet>hz/n2,bigcurl-2,3,20.327,50.375,1.03,3.82,1,0,1073741824
droplet>hz/n2,curldd-2,3,17.028,60.138,0.57,3.36,1,0,1073741824
