label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
do-sfo>hz-ore/plain,curl,1,12.008,85.276,0.36,1.82,1,0,1073741824
do-sfo>hz-ore/plain,aria2-8,1,14.392,71.149,0.88,2.45,1,0,1073741824
do-sfo>hz-ore/plain,aria2-16,1,19.370,52.866,1.39,3.14,1,0,1073741824
do-sfo>hz-ore/plain,bigcurl-8,1,15.696,65.238,1.30,3.59,1,0,1073741824
do-sfo>hz-ore/plain,bigcurl-16,1,23.674,43.254,2.59,5.33,1,0,1073741824
do-sfo>hz-ore/plain,bigcurl-auto,1,20.119,50.897,2.12,4.37,1,0,1073741824
do-sfo>hz-ore/plain,curl,2,16.652,61.493,0.42,2.25,1,0,1073741824
do-sfo>hz-ore/plain,aria2-8,2,13.833,74.025,0.93,2.36,1,0,1073741824
do-sfo>hz-ore/plain,aria2-16,2,17.761,57.656,1.28,2.84,1,0,1073741824
do-sfo>hz-ore/plain,bigcurl-8,2,18.943,54.056,1.74,4.12,1,0,1073741824
do-sfo>hz-ore/plain,bigcurl-16,2,25.536,40.100,2.98,5.59,1,0,1073741824
do-sfo>hz-ore/plain,bigcurl-auto,2,22.329,45.860,2.36,4.90,1,0,1073741824
do-sfo>hz-ore/rate4m,curl,1,256.357,3.994,0.56,2.38,1,0,1073741824
do-sfo>hz-ore/rate4m,aria2-8,1,32.121,31.879,1.33,2.57,1,0,1073741824
do-sfo>hz-ore/rate4m,aria2-16,1,20.334,50.360,1.47,3.23,1,0,1073741824
do-sfo>hz-ore/rate4m,bigcurl-8,1,32.800,31.219,1.64,4.17,1,0,1073741824
do-sfo>hz-ore/rate4m,bigcurl-16,1,19.853,51.580,1.91,4.33,1,0,1073741824
do-sfo>hz-ore/rate4m,bigcurl-auto,1,23.720,43.170,2.43,5.03,1,0,1073741824
do-sfo>hz-ore/rate4m,curl,2,256.402,3.994,0.46,2.42,1,0,1073741824
do-sfo>hz-ore/rate4m,aria2-8,2,32.159,31.842,1.02,2.41,1,0,1073741824
do-sfo>hz-ore/rate4m,aria2-16,2,18.624,54.983,1.28,2.84,1,0,1073741824
do-sfo>hz-ore/rate4m,bigcurl-8,2,32.702,31.313,1.58,4.00,1,0,1073741824
do-sfo>hz-ore/rate4m,bigcurl-16,2,19.091,53.637,1.72,4.14,1,0,1073741824
do-sfo>hz-ore/rate4m,bigcurl-auto,2,21.976,46.597,2.40,4.50,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,curl,1,256.098,3.998,0.54,2.34,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,aria2-8,1,32.166,31.835,1.19,2.57,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,aria2-16,1,31.703,32.299,1.12,2.45,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,bigcurl-8,1,32.455,31.551,1.49,4.01,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,bigcurl-16,1,36.904,27.748,1.60,4.16,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,bigcurl-auto,1,37.366,27.405,1.68,4.48,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,curl,2,256.132,3.998,0.51,2.37,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,aria2-8,2,32.426,31.579,1.54,2.93,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,aria2-16,2,31.901,32.099,1.31,2.64,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,bigcurl-8,2,32.454,31.552,1.57,4.07,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,bigcurl-16,2,36.474,28.075,1.49,4.07,1,0,1073741824
do-sfo>hz-ore/rate4m+cap8,bigcurl-auto,2,33.599,30.477,1.73,4.30,1,0,1073741824
