rtt_ms,loss_pct,tool,rep,seconds,mbps,verified
0,0,h1x8conn,1,1.423,22.48,1
0,0,h2x8stream,1,1.426,22.44,1
0,0,h1x8conn,2,1.435,22.30,1
0,0,h2x8stream,2,1.451,22.05,1
0,0,h1x8conn,3,1.436,22.28,1
0,0,h2x8stream,3,1.445,22.15,1
0,0.1,h1x8conn,1,1.448,22.09,1
0,0.1,h2x8stream,1,1.446,22.13,1
0,0.1,h1x8conn,2,1.440,22.23,1
0,0.1,h2x8stream,2,1.443,22.18,1
0,0.1,h1x8conn,3,1.442,22.18,1
0,0.1,h2x8stream,3,1.442,22.20,1
0,0.5,h1x8conn,1,1.441,22.20,1
0,0.5,h2x8stream,1,1.455,21.99,1
0,0.5,h1x8conn,2,1.441,22.21,1
0,0.5,h2x8stream,2,1.445,22.14,1
0,0.5,h1x8conn,3,1.439,22.24,1
0,0.5,h2x8stream,3,1.451,22.06,1
25,0,h1x8conn,1,1.542,20.75,1
25,0,h2x8stream,1,1.641,19.50,1
25,0,h1x8conn,2,1.533,20.87,1
25,0,h2x8stream,2,1.635,19.57,1
25,0,h1x8conn,3,1.531,20.90,1
25,0,h2x8stream,3,1.624,19.71,1
25,0.1,h1x8conn,1,1.587,20.16,1
25,0.1,h2x8stream,1,1.627,19.67,1
25,0.1,h1x8conn,2,1.670,19.17,1
25,0.1,h2x8stream,2,2.906,11.01,1
25,0.1,h1x8conn,3,2.181,14.67,1
25,0.1,h2x8stream,3,1.639,19.53,1
25,0.5,h1x8conn,1,3.653,8.76,1
25,0.5,h2x8stream,1,7.027,4.55,1
25,0.5,h1x8conn,2,2.909,11.00,1
25,0.5,h2x8stream,2,29.009,1.10,1
25,0.5,h1x8conn,3,3.588,8.92,1
25,0.5,h2x8stream,3,11.152,2.87,1
100,0,h1x8conn,1,2.690,11.90,1
100,0,h2x8stream,1,2.378,13.46,1
100,0,h1x8conn,2,2.659,12.03,1
100,0,h2x8stream,2,2.365,13.53,1
100,0,h1x8conn,3,2.697,11.86,1
100,0,h2x8stream,3,2.361,13.56,1
100,0.1,h1x8conn,1,7.247,4.42,1
100,0.1,h2x8stream,1,2.368,13.51,1
100,0.1,h1x8conn,2,3.137,10.20,1
100,0.1,h2x8stream,2,2.496,12.82,1
100,0.1,h1x8conn,3,3.496,9.15,1
100,0.1,h2x8stream,3,3.149,10.16,1
100,0.5,h1x8conn,1,12.336,2.59,1
100,0.5,h2x8stream,1,88.475,0.36,1
100,0.5,h1x8conn,2,14.978,2.14,1
100,0.5,h2x8stream,2,64.016,0.50,1
100,0.5,h1x8conn,3,15.892,2.01,1
100,0.5,h2x8stream,3,72.930,0.44,1
250,0,h1x8conn,1,4.540,7.05,1
250,0,h2x8stream,1,4.866,6.58,1
250,0,h1x8conn,2,6.067,5.27,1
250,0,h2x8stream,2,4.877,6.56,1
250,0,h1x8conn,3,4.526,7.07,1
250,0,h2x8stream,3,4.875,6.56,1
250,0.1,h1x8conn,1,4.975,6.43,1
250,0.1,h2x8stream,1,60.090,0.53,1
250,0.1,h1x8conn,2,11.678,2.74,1
250,0.1,h2x8stream,2,42.359,0.76,1
250,0.1,h1x8conn,3,7.742,4.13,1
250,0.1,h2x8stream,3,5.740,5.58,1
250,0.5,h1x8conn,1,31.335,1.02,1
250,0.5,h2x8stream,1,90.069,0.36,0
250,0.5,h1x8conn,2,26.891,1.19,1
250,0.5,h2x8stream,2,90.066,0.36,0
250,0.5,h1x8conn,3,22.284,1.44,1
250,0.5,h2x8stream,3,90.054,0.36,0
