label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
rtt0ms/loss0pct,curl,1,1.411,22.681,0.01,0.06,1,0,33554432
rtt0ms/loss0pct,aria2-8,1,1.513,21.144,0.06,0.15,1,0,33554432
rtt0ms/loss0pct,axel-8,1,1.557,20.551,0.02,0.19,1,0,33554432
rtt0ms/loss0pct,bigcurl-8,1,1.469,21.783,0.18,0.39,1,0,33554432
rtt0ms/loss0pct,bigcurl-16,1,1.449,22.082,0.28,0.51,1,0,33554432
rtt0ms/loss0pct,bigcurl-auto,1,1.445,22.147,0.34,0.65,1,0,33554432
rtt0ms/loss0pct,curl,2,1.417,22.589,0.01,0.06,1,0,33554432
rtt0ms/loss0pct,aria2-8,2,1.484,21.567,0.07,0.24,1,0,33554432
rtt0ms/loss0pct,axel-8,2,1.661,19.266,0.03,0.14,1,0,33554432
rtt0ms/loss0pct,bigcurl-8,2,1.451,22.050,0.18,0.45,1,0,33554432
rtt0ms/loss0pct,bigcurl-16,2,1.457,21.961,0.29,0.58,1,0,33554432
rtt0ms/loss0pct,bigcurl-auto,2,1.458,21.942,0.39,0.65,1,0,33554432
rtt0ms/loss0pct,curl,3,1.413,22.644,0.01,0.07,1,0,33554432
rtt0ms/loss0pct,aria2-8,3,1.506,21.251,0.06,0.15,1,0,33554432
rtt0ms/loss0pct,axel-8,3,1.593,20.087,0.02,0.16,1,0,33554432
rtt0ms/loss0pct,bigcurl-8,3,1.476,21.677,0.18,0.50,1,0,33554432
rtt0ms/loss0pct,bigcurl-16,3,1.453,22.016,0.28,0.57,1,0,33554432
rtt0ms/loss0pct,bigcurl-auto,3,1.460,21.912,0.38,0.68,1,0,33554432
rtt0ms/loss0.1pct,curl,1,1.417,22.584,0.01,0.08,1,0,33554432
rtt0ms/loss0.1pct,aria2-8,1,1.502,21.311,0.07,0.16,1,0,33554432
rtt0ms/loss0.1pct,axel-8,1,1.548,20.678,0.03,0.18,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-8,1,1.463,21.870,0.20,0.43,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-16,1,1.447,22.108,0.21,0.43,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-auto,1,1.450,22.075,0.35,0.63,1,0,33554432
rtt0ms/loss0.1pct,curl,2,1.416,22.595,0.01,0.07,1,0,33554432
rtt0ms/loss0.1pct,aria2-8,2,1.485,21.545,0.09,0.24,1,0,33554432
rtt0ms/loss0.1pct,axel-8,2,1.526,20.964,0.01,0.18,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-8,2,1.493,21.429,0.20,0.50,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-16,2,1.468,21.801,0.30,0.58,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-auto,2,1.471,21.756,0.41,0.73,1,0,33554432
rtt0ms/loss0.1pct,curl,3,1.412,22.664,0.02,0.06,1,0,33554432
rtt0ms/loss0.1pct,aria2-8,3,1.684,18.997,0.05,0.13,1,0,33554432
rtt0ms/loss0.1pct,axel-8,3,1.557,20.555,0.02,0.17,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-8,3,1.466,21.831,0.18,0.45,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-16,3,1.467,21.816,0.30,0.61,1,0,33554432
rtt0ms/loss0.1pct,bigcurl-auto,3,1.488,21.500,0.36,0.64,1,0,33554432
rtt0ms/loss0.5pct,curl,1,1.413,22.643,0.00,0.08,1,0,33554432
rtt0ms/loss0.5pct,aria2-8,1,1.482,21.592,0.05,0.19,1,0,33554432
rtt0ms/loss0.5pct,axel-8,1,1.527,20.957,0.02,0.21,1,0,33554432
rtt0ms/loss0.5pct,bigcurl-8,1,1.466,21.822,0.19,0.39,1,0,33554432
rtt0ms/loss0.5pct,bigcurl-16,1,1.448,22.096,0.25,0.54,1,0,33554432
rtt0ms/loss0.5pct,bigcurl-auto,1,1.528,20.944,0.39,0.65,1,0,33554432
rtt0ms/loss0.5pct,curl,2,1.413,22.646,0.02,0.10,1,0,33554432
rtt0ms/loss0.5pct,aria2-8,2,1.465,21.847,0.05,0.13,1,0,33554432
