label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
localhost/1GB,curl,1,0.756,1354.727,0.04,0.72,1,0,1073741824
localhost/1GB,aria2-8,1,1.294,791.447,0.14,0.95,1,0,1073741824
localhost/1GB,axel-8,1,1.142,896.848,0.06,0.98,1,0,1073741824
localhost/1GB,bigcurl-8,1,0.723,1416.458,0.20,1.39,1,0,1073741824
localhost/1GB,bigcurl-auto,1,0.683,1499.364,0.28,1.52,1,0,1073741824
localhost/1GB,curl,2,0.773,1324.238,0.03,0.74,1,0,1073741824
localhost/1GB,aria2-8,2,1.336,766.584,0.14,1.01,1,0,1073741824
localhost/1GB,axel-8,2,1.125,910.162,0.05,0.98,1,0,1073741824
localhost/1GB,bigcurl-8,2,0.663,1544.292,0.18,1.36,1,0,1073741824
localhost/1GB,bigcurl-auto,2,0.707,1449.247,0.27,1.47,1,0,1073741824
localhost/1GB,curl,3,0.772,1326.590,0.03,0.73,1,0,1073741824
localhost/1GB,aria2-8,3,1.407,727.663,0.15,0.99,1,0,1073741824
localhost/1GB,axel-8,3,1.188,862.072,0.04,1.05,1,0,1073741824
localhost/1GB,bigcurl-8,3,0.692,1480.073,0.16,1.34,1,0,1073741824
localhost/1GB,bigcurl-auto,3,0.739,1385.981,0.35,1.72,1,0,1073741824
