label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
rtt250ms/loss0pct/curlref,curl,1,4.731,6.764,0.03,0.09,1,0,33554432
rtt250ms/loss0pct/curlref,curl,2,4.729,6.767,0.02,0.11,1,0,33554432
rtt250ms/loss0pct/curlref,curl,3,4.727,6.770,0.02,0.09,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-8,1,7.718,4.146,0.21,0.40,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-auto,1,4.839,6.613,0.41,0.60,1,0,33554432
rtt250ms/loss0pct/tip,bigcurl-8,1,9.234,3.465,0.21,0.40,1,0,33554432
rtt250ms/loss0pct/tip,bigcurl-auto,1,6.356,5.034,0.43,0.65,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-8,1,7.739,4.135,0.25,0.47,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-auto,1,4.848,6.600,0.42,0.60,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-8,1,7.735,4.137,0.24,0.44,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-auto,1,4.857,6.588,0.44,0.68,1,0,33554432
rtt250ms/loss0pct/tip,bigcurl-8,1,9.246,3.461,0.24,0.38,1,0,33554432
rtt250ms/loss0pct/tip,bigcurl-auto,1,6.363,5.029,0.47,0.66,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-8,1,7.742,4.133,0.24,0.44,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-auto,1,4.849,6.599,0.40,0.58,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-8,1,7.732,4.139,0.25,0.42,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-auto,1,4.850,6.597,0.42,0.64,1,0,33554432
rtt250ms/loss0pct/tip,bigcurl-8,1,9.243,3.462,0.24,0.45,1,0,33554432
rtt250ms/loss0pct/tip,bigcurl-auto,1,6.352,5.038,0.45,0.66,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-8,1,7.723,4.144,0.21,0.46,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-auto,1,4.864,6.579,0.40,0.57,1,0,33554432
rtt250ms/loss0pct/curlref/512k,curl,1,1.768,0.283,0.00,0.01,1,0,524288
rtt250ms/loss0pct/curlref/512k,curl,2,1.765,0.283,0.00,0.01,1,0,524288
rtt250ms/loss0pct/curlref/512k,curl,3,1.767,0.283,0.01,0.01,1,0,524288
rtt250ms/loss0pct/old/512k,bigcurl-auto,1,2.312,0.216,0.02,0.02,1,0,524288
rtt250ms/loss0pct/tip/512k,bigcurl-auto,1,1.801,0.278,0.03,0.03,1,0,524288
rtt250ms/loss0pct/new/512k,bigcurl-auto,1,2.324,0.215,0.04,0.02,1,0,524288
rtt250ms/loss0pct/old/512k,bigcurl-auto,1,2.330,0.215,0.05,0.02,1,0,524288
rtt250ms/loss0pct/tip/512k,bigcurl-auto,1,1.799,0.278,0.04,0.01,1,0,524288
rtt250ms/loss0pct/new/512k,bigcurl-auto,1,2.310,0.216,0.03,0.02,1,0,524288
rtt250ms/loss0pct/old/512k,bigcurl-auto,1,2.324,0.215,0.04,0.02,1,0,524288
rtt250ms/loss0pct/tip/512k,bigcurl-auto,1,1.800,0.278,0.03,0.02,1,0,524288
rtt250ms/loss0pct/new/512k,bigcurl-auto,1,2.323,0.215,0.04,0.03,1,0,524288
