label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
do-sfo>hz-ore/plain/old,curl,1,12.423,82.428,0.32,1.92,1,0,1073741824
do-sfo>hz-ore/plain/old,bigcurl-8,1,17.368,58.961,1.51,3.97,1,0,1073741824
do-sfo>hz-ore/plain/old,bigcurl-auto,1,22.826,44.861,2.52,4.94,1,0,1073741824
do-sfo>hz-ore/plain/old,curl,2,12.472,82.102,0.27,1.94,1,0,1073741824
do-sfo>hz-ore/plain/old,bigcurl-8,2,18.984,53.941,1.73,4.32,1,0,1073741824
do-sfo>hz-ore/plain/old,bigcurl-auto,2,22.123,46.287,2.44,4.80,1,0,1073741824
do-sfo>hz-ore/plain/old,curl,3,14.296,71.629,0.38,2.07,1,0,1073741824
do-sfo>hz-ore/plain/old,bigcurl-8,3,18.047,56.742,1.64,4.03,1,0,1073741824
do-sfo>hz-ore/plain/old,bigcurl-auto,3,22.506,45.499,2.47,4.92,1,0,1073741824
do-sfo>hz-ore/plain/tip,curl,1,11.881,86.188,0.37,1.79,1,0,1073741824
do-sfo>hz-ore/plain/tip,bigcurl-8,1,17.142,59.738,1.46,3.93,1,0,1073741824
do-sfo>hz-ore/plain/tip,bigcurl-auto,1,21.422,47.802,2.32,4.68,1,0,1073741824
do-sfo>hz-ore/plain/tip,curl,2,12.665,80.850,0.36,1.91,1,0,1073741824
do-sfo>hz-ore/plain/tip,bigcurl-8,2,17.201,59.530,1.47,3.90,1,0,1073741824
do-sfo>hz-ore/plain/tip,bigcurl-auto,2,22.288,45.943,1.97,4.62,1,0,1073741824
do-sfo>hz-ore/plain/tip,curl,3,13.639,75.080,0.39,1.96,1,0,1073741824
do-sfo>hz-ore/plain/tip,bigcurl-8,3,19.037,53.791,1.70,4.18,1,0,1073741824
do-sfo>hz-ore/plain/tip,bigcurl-auto,3,22.819,44.875,2.53,5.02,1,0,1073741824
do-sfo>hz-ore/plain/fixed,curl,1,14.127,72.488,0.40,2.03,1,0,1073741824
do-sfo>hz-ore/plain/fixed,bigcurl-8,1,17.683,57.909,1.57,3.95,1,0,1073741824
do-sfo>hz-ore/plain/fixed,bigcurl-auto,1,18.175,56.342,1.66,4.12,1,0,1073741824
do-sfo>hz-ore/plain/fixed,curl,2,12.774,80.160,0.36,1.91,1,0,1073741824
do-sfo>hz-ore/plain/fixed,bigcurl-8,2,19.256,53.178,1.63,4.43,1,0,1073741824
do-sfo>hz-ore/plain/fixed,bigcurl-auto,2,24.883,41.153,2.76,5.27,1,0,1073741824
do-sfo>hz-ore/plain/fixed,curl,3,13.664,74.939,0.39,1.96,1,0,1073741824
do-sfo>hz-ore/plain/fixed,bigcurl-8,3,17.672,57.945,1.51,4.06,1,0,1073741824
do-sfo>hz-ore/plain/fixed,bigcurl-auto,3,21.792,46.989,2.38,4.92,1,0,1073741824
