label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
rtt25ms/loss0.5pct/old,curl,1,13.811,2.317,0.06,0.24,1,0,33554432
rtt25ms/loss0.5pct/old,bigcurl-8,1,3.768,8.494,0.21,0.35,1,0,33554432
rtt25ms/loss0.5pct/old,bigcurl-auto,1,1.843,17.366,0.40,0.57,1,0,33554432
rtt25ms/loss0.5pct/old,curl,2,25.115,1.274,0.09,0.33,1,0,33554432
rtt25ms/loss0.5pct/old,bigcurl-8,2,2.703,11.840,0.22,0.32,1,0,33554432
rtt25ms/loss0.5pct/old,bigcurl-auto,2,1.991,16.074,0.46,0.59,1,0,33554432
rtt25ms/loss0.5pct/old,curl,3,17.695,1.808,0.06,0.27,1,0,33554432
rtt25ms/loss0.5pct/old,bigcurl-8,3,4.087,7.831,0.26,0.39,1,0,33554432
rtt25ms/loss0.5pct/old,bigcurl-auto,3,1.859,17.211,0.39,0.56,1,0,33554432
rtt25ms/loss0.5pct/new,curl,1,21.250,1.506,0.07,0.32,1,0,33554432
rtt25ms/loss0.5pct/new,bigcurl-8,1,4.255,7.520,0.24,0.35,1,0,33554432
rtt25ms/loss0.5pct/new,bigcurl-auto,1,1.944,16.463,0.48,0.52,1,0,33554432
rtt25ms/loss0.5pct/new,curl,2,25.285,1.266,0.09,0.37,1,0,33554432
rtt25ms/loss0.5pct/new,bigcurl-8,2,2.774,11.535,0.19,0.38,1,0,33554432
rtt25ms/loss0.5pct/new,bigcurl-auto,2,2.735,11.699,0.49,0.57,1,0,33554432
rtt25ms/loss0.5pct/new,curl,3,7.709,4.151,0.04,0.21,1,0,33554432
rtt25ms/loss0.5pct/new,bigcurl-8,3,4.165,7.684,0.20,0.36,1,0,33554432
rtt25ms/loss0.5pct/new,bigcurl-auto,3,2.332,13.722,0.50,0.63,1,0,33554432
rtt250ms/loss0pct/old,curl,1,4.730,6.765,0.02,0.11,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-8,1,7.740,4.135,0.28,0.45,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-auto,1,4.850,6.599,0.43,0.66,1,0,33554432
rtt250ms/loss0pct/old,curl,2,4.726,6.771,0.02,0.09,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-8,2,7.725,4.143,0.26,0.46,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-auto,2,4.855,6.592,0.41,0.66,1,0,33554432
rtt250ms/loss0pct/old,curl,3,4.993,6.409,0.02,0.09,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-8,3,7.723,4.143,0.26,0.47,1,0,33554432
rtt250ms/loss0pct/old,bigcurl-auto,3,4.845,6.605,0.41,0.62,1,0,33554432
rtt250ms/loss0pct/new,curl,1,4.736,6.757,0.01,0.09,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-8,1,9.226,3.469,0.25,0.39,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-auto,1,6.337,5.050,0.42,0.65,1,0,33554432
rtt250ms/loss0pct/new,curl,2,4.732,6.763,0.02,0.11,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-8,2,9.239,3.464,0.25,0.43,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-auto,2,6.346,5.043,0.43,0.66,1,0,33554432
rtt250ms/loss0pct/new,curl,3,4.784,6.689,0.01,0.12,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-8,3,9.231,3.467,0.22,0.41,1,0,33554432
rtt250ms/loss0pct/new,bigcurl-auto,3,6.349,5.041,0.42,0.60,1,0,33554432
rtt100ms/loss0.5pct/ref,curl,1,98.037,0.326,0.10,0.40,1,0,33554432
rtt100ms/loss0.5pct/ref,curl,2,72.257,0.443,0.08,0.37,1,0,33554432
rtt100ms/loss0.5pct/ref,curl,3,79.401,0.403,0.10,0.39,1,0,33554432
rtt100ms/loss0.5pct/old,bigcurl-8,1,6.429,4.977,0.31,0.45,1,0,33554432
rtt100ms/loss0.5pct/old,bigcurl-auto,1,3.638,8.796,0.42,0.56,1,0,33554432
rtt100ms/loss0.5pct/old,bigcurl-8,2,7.545,4.241,0.28,0.44,1,0,33554432
rtt100ms/loss0.5pct/old,bigcurl-auto,2,3.302,9.691,0.37,0.48,1,0,33554432
rtt100ms/loss0.5pct/old,bigcurl-8,3,7.307,4.379,0.25,0.38,1,0,33554432
rtt100ms/loss0.5pct/old,bigcurl-auto,3,4.381,7.305,0.44,0.53,1,0,33554432
rtt100ms/loss0.5pct/tip,bigcurl-8,1,8.757,3.654,0.27,0.44,1,0,33554432
rtt100ms/loss0.5pct/tip,bigcurl-auto,1,4.098,7.808,0.40,0.50,1,0,33554432
rtt100ms/loss0.5pct/tip,bigcurl-8,2,6.123,5.227,0.26,0.43,1,0,33554432
rtt100ms/loss0.5pct/tip,bigcurl-auto,2,3.868,8.272,0.42,0.54,1,0,33554432
