label,tool,rep,seconds,mbps,cpu_user,cpu_sys,ok,timeout,bytes
starlink>hz-ore/plain,curl,1,86.377,1.111,0.10,0.60,1,0,100663296
starlink>hz-ore/plain,aria2-8,1,30.236,3.175,0.13,0.74,1,0,100663296
starlink>hz-ore/plain,aria2-16,1,32.637,2.941,0.20,1.00,1,0,100663296
starlink>hz-ore/plain,bigcurl-8,1,27.383,3.506,0.48,0.94,1,0,100663296
starlink>hz-ore/plain,bigcurl-16,1,21.818,4.400,0.68,1.23,1,0,100663296
starlink>hz-ore/plain,bigcurl-auto,1,27.209,3.528,0.55,0.88,1,0,100663296
starlink>hz-ore/plain,curl,2,70.801,1.356,0.13,0.73,1,0,100663296
starlink>hz-ore/plain,aria2-8,2,33.650,2.853,0.18,0.97,1,0,100663296
starlink>hz-ore/plain,aria2-16,2,28.561,3.361,0.20,0.94,1,0,100663296
starlink>hz-ore/plain,bigcurl-8,2,28.804,3.333,0.51,0.96,1,0,100663296
starlink>hz-ore/plain,bigcurl-16,2,26.695,3.596,0.77,1.33,1,0,100663296
starlink>hz-ore/plain,bigcurl-auto,2,39.654,2.421,0.87,1.42,1,0,100663296
starlink>hz-ore/rate4m,curl,1,67.598,1.420,0.11,0.66,1,0,100663296
starlink>hz-ore/rate4m,aria2-8,1,20.340,4.720,0.14,0.88,1,0,100663296
starlink>hz-ore/rate4m,aria2-16,1,20.326,4.723,0.20,0.96,1,0,100663296
starlink>hz-ore/rate4m,bigcurl-8,1,22.016,4.360,0.45,0.94,1,0,100663296
starlink>hz-ore/rate4m,bigcurl-16,1,24.136,3.978,0.58,1.03,1,0,100663296
starlink>hz-ore/rate4m,bigcurl-auto,1,19.987,4.803,0.70,1.22,1,0,100663296
starlink>hz-ore/rate4m,curl,2,150.193,0.639,0.14,0.77,1,0,100663296
starlink>hz-ore/rate4m,aria2-8,2,28.856,3.327,0.16,0.86,1,0,100663296
starlink>hz-ore/rate4m,aria2-16,2,20.584,4.664,0.14,0.83,1,0,100663296
starlink>hz-ore/rate4m,bigcurl-8,2,26.433,3.632,0.44,0.85,1,0,100663296
starlink>hz-ore/rate4m,bigcurl-16,2,18.863,5.089,0.57,1.05,1,0,100663296
starlink>hz-ore/rate4m,bigcurl-auto,2,17.915,5.359,0.72,1.22,1,0,100663296
starlink>do-sfo/plain,curl,1,54.343,1.767,0.10,0.61,1,0,100663296
starlink>do-sfo/plain,aria2-8,1,26.091,3.679,0.16,0.86,1,0,100663296
starlink>do-sfo/plain,aria2-16,1,25.220,3.807,0.15,0.82,1,0,100663296
starlink>do-sfo/plain,bigcurl-8,1,27.120,3.540,0.47,0.91,1,0,100663296
starlink>do-sfo/plain,bigcurl-16,1,25.214,3.807,0.66,1.17,1,0,100663296
starlink>do-sfo/plain,bigcurl-auto,1,18.263,5.257,0.66,1.13,1,0,100663296
starlink>do-sfo/plain,curl,2,35.207,2.727,0.10,0.58,1,0,100663296
starlink>do-sfo/plain,aria2-8,2,22.031,4.357,0.15,0.90,1,0,100663296
starlink>do-sfo/plain,aria2-16,2,22.149,4.334,0.19,1.00,1,0,100663296
starlink>do-sfo/plain,bigcurl-8,2,23.503,4.085,0.40,0.83,1,0,100663296
starlink>do-sfo/plain,bigcurl-16,2,20.209,4.750,0.55,1.00,1,0,100663296
starlink>do-sfo/plain,bigcurl-auto,2,18.200,5.275,0.83,1.39,1,0,100663296
starlink>hz-ore/sweep,curl,1,75.287,0.638,0.10,0.51,1,0,50331648
starlink>hz-ore/sweep,bigcurl-1,1,40.512,1.185,0.21,0.35,1,0,50331648
starlink>hz-ore/sweep,bigcurl-2,1,14.082,3.409,0.14,0.27,1,0,50331648
starlink>hz-ore/sweep,bigcurl-4,1,21.414,2.242,0.26,0.47,1,0,50331648
starlink>hz-ore/sweep,bigcurl-8,1,14.575,3.293,0.30,0.55,1,0,50331648
starlink>hz-ore/sweep,bigcurl-16,1,10.645,4.509,0.32,0.58,1,0,50331648
starlink>hz-ore/sweep,bigcurl-32,1,11.917,4.028,0.46,0.75,1,0,50331648
starlink>hz-ore/sweep,curl,2,18.568,2.585,0.05,0.30,1,0,50331648
starlink>hz-ore/sweep,bigcurl-1,2,47.244,1.016,0.25,0.44,1,0,50331648
starlink>hz-ore/sweep,bigcurl-2,2,18.244,2.631,0.17,0.32,1,0,50331648
starlink>hz-ore/sweep,bigcurl-4,2,11.875,4.042,0.20,0.45,1,0,50331648
starlink>hz-ore/sweep,bigcurl-8,2,11.571,4.148,0.27,0.52,1,0,50331648
starlink>hz-ore/sweep,bigcurl-16,2,9.878,4.859,0.33,0.60,1,0,50331648
starlink>hz-ore/sweep,bigcurl-32,2,11.656,4.118,0.48,0.80,1,0,50331648
